q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min
0.21970868,0.15028364,0.15134571,0.14852148,0.15181944,0.15167465,0.15399938,0.15031584,0.15059669,0.15116327,0.15065863
0.22411345,0.15032509,0.15175349,0.15164009,0.15319201,0.15111129,0.15311922,0.1497406,0.15223364,0.15116924,0.15337555
0.22851403,0.14987064,0.15138496,0.15052723,0.15166723,0.15320499,0.15480596,0.14965922,0.15341798,0.15211383,0.15151718
0.23300131,0.15024009,0.1520971,0.15082988,0.15289951,0.149898,0.15370625,0.15033745,0.14852476,0.15056057,0.15144029
0.2377055,0.14929807,0.15148499,0.14934965,0.15334234,0.14940129,0.15210604,0.14952469,0.15029004,0.15029133,0.15116604
0.24251952,0.15018942,0.14961805,0.15025233,0.15166589,0.15041643,0.1528807,0.14967961,0.15088555,0.15005456,0.15021114
0.24739505,0.1497656,0.15000635,0.15067179,0.15089174,0.14932329,0.15315595,0.1482581,0.15197876,0.14865758,0.15200007
0.25233626,0.14976312,0.15175727,0.15044843,0.15126633,0.14888225,0.15153907,0.14857618,0.15006749,0.14971068,0.1510105
0.25734875,0.15057022,0.1511145,0.15063844,0.15196534,0.15020299,0.15327076,0.14827113,0.1482803,0.15007195,0.14956277
0.26242282,0.15026628,0.14978443,0.14883359,0.151174,0.14828677,0.15319078,0.14824202,0.14929851,0.1476688,0.15012128
0.26763532,0.1478789,0.14833812,0.14814543,0.15110553,0.14901277,0.15179575,0.14767911,0.14836551,0.14912223,0.15153046
0.27294547,0.14780177,0.15026894,0.14996818,0.15127809,0.14709004,0.152003,0.14841212,0.14847214,0.15133283,0.15004379
0.27831453,0.148343,0.14942472,0.15139082,0.15086376,0.14958653,0.14925427,0.14935981,0.1499818,0.14881373,0.14926311
0.2838056,0.1477246,0.14802317,0.14750868,0.15018916,0.14794488,0.15167103,0.14673443,0.14754143,0.14881807,0.15021359
0.28943161,0.14868099,0.14769967,0.14843798,0.14911676,0.14574176,0.14861078,0.14751615,0.15047512,0.14892539,0.1477656
0.29513404,0.14549516,0.14718369,0.14676811,0.14900772,0.14556727,0.14944198,0.14632443,0.1468311,0.14661201,0.14731989
0.30096581,0.14634165,0.14611511,0.14481917,0.14700514,0.1465286,0.14755813,0.14596726,0.1460974,0.1484352,0.14608585
0.30690875,0.14396407,0.1450234,0.14566253,0.14784047,0.14618765,0.14812246,0.14450694,0.14651956,0.14708579,0.14591871
0.31290454,0.14413065,0.14524424,0.14486438,0.14673512,0.14510914,0.14708202,0.14448886,0.14391471,0.14429946,0.1456897
0.31903223,0.14447699,0.14438705,0.14215047,0.14563493,0.14251206,0.14588339,0.1435079,0.14173621,0.14314249,0.14534378
0.32528885,0.1413866,0.14300587,0.14327756,0.14401774,0.14409401,0.14451941,0.1410179,0.14284884,0.1428287,0.14305214
0.33159094,0.14330386,0.14454595,0.14144991,0.14441596,0.14283328,0.14688945,0.14109212,0.14353861,0.14393747,0.1436168
0.33800642,0.14204142,0.14201342,0.14303263,0.14486623,0.14293245,0.14380584,0.14121426,0.14161554,0.14234996,0.14278505
0.34467118,0.14292766,0.14318403,0.14123156,0.14260543,0.14037104,0.14324674,0.14108898,0.14084232,0.14361202,0.14229853
0.35149701,0.14259578,0.14107722,0.14159497,0.14386825,0.14069938,0.14354879,0.14025925,0.14156877,0.13989072,0.142496
0.35836904,0.13982388,0.14146408,0.14156067,0.14330283,0.14009593,0.14392565,0.14054555,0.13968107,0.14247969,0.14291606
0.36528824,0.14168003,0.142375,0.14135705,0.14390612,0.14231365,0.14357929,0.13964588,0.14160532,0.14271808,0.14334626
0.37243356,0.14186952,0.14343374,0.14175814,0.14487473,0.14001119,0.14417041,0.14097901,0.14187004,0.1431513,0.14403402
0.37981703,0.13982522,0.14020341,0.14062943,0.14353391,0.14097557,0.14472683,0.14106834,0.14080543,0.14101647,0.14211578
0.38711201,0.1407917,0.14066116,0.1395195,0.14164977,0.14057842,0.14475822,0.13835828,0.14056176,0.14112702,0.14231923
0.3944964,0.1417363,0.14133303,0.14002108,0.14270228,0.13958386,0.14228969,0.14032928,0.13946341,0.14241298,0.14211734
