q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min
0.03677923,0.12336948,0.11535173,0.13529573,0.12527803,0.11603786,0.13158887,0.10423109,0.11527513,0.1142523,0.1069583,0.12183636,0.12008085,0.1091199,0.13768229,0.13454203,0.13126415,0.12576238,0.12930289,0.13558161,0.1122937,0.1389348,0.12256172,0.12783999,0.13512435,0.14239315,0.13547125,0.13565112,0.15453493,0.13790846,0.13981972,0.14338107,0.12929075,0.14726612,0.15631557,0.14454966,0.17605654,0.1579685,0.17458797,0.17638823,0.16301236,0.1714804,0.18287885,0.17432895,0.17123927,0.20670136,0.20501302,0.18955818
0.03759776,0.14098476,0.11214642,0.10494867,0.12416561,0.11519086,0.12818306,0.11083849,0.10522378,0.11512768,0.11881573,0.11835363,0.10526607,0.11191269,0.13221088,0.12764366,0.10379019,0.10743235,0.10308719,0.12536175,0.12411285,0.12146368,0.11987822,0.12444134,0.14019264,0.13544662,0.11786802,0.14923406,0.14200855,0.13948026,0.12424672,0.13730198,0.14522904,0.13752114,0.12466222,0.16373259,0.1490295,0.15777677,0.15391559,0.14970269,0.18120298,0.17003013,0.15726571,0.1882424,0.18660163,0.19639922,0.18042137,0.17640942
0.03842509,0.12236701,0.12397789,0.12749984,0.12065717,0.11605591,0.11978292,0.1009308,0.10827261,0.12083186,0.10065391,0.1155222,0.1155276,0.10894901,0.11919193,0.11414138,0.10538492,0.12350551,0.10783061,0.12795662,0.10763522,0.10737778,0.11970415,0.11643638,0.12172638,0.14429311,0.11798591,0.13780002,0.13273405,0.11963477,0.12836583,0.15100481,0.13648089,0.12600484,0.14033564,0.1250371,0.1481086,0.13310787,0.17429525,0.15916469,0.16538081,0.16453259,0.17637914,0.16483913,0.16905634,0.17010406,0.16274742,0.19306065
0.03926294,0.08135124,0.12116731,0.12548258,0.1067136,0.09683346,0.08488484,0.10382189,0.09606148,0.09245632,0.1033004,0.1079144,0.11959835,0.10879726,0.1059436,0.09248067,0.11670042,0.10514487,0.09717249,0.09276203,0.11612738,0.11257871,0.1308667,0.12335738,0.09185628,0.1113594,0.11353378,0.10644548,0.10713516,0.12397093,0.13167766,0.1201518,0.13777187,0.14274801,0.13781625,0.12983538,0.14226982,0.14679822,0.13260441,0.1323932,0.14724507,0.14704964,0.17147721,0.17161023,0.16487879,0.14462245,0.15772488,0.11902614
0.04009326,0.08577141,0.13401995,0.11307356,0.095018,0.12027681,0.14246007,0.08241587,0.09178336,0.10716215,0.09249834,0.09256439,0.12837799,0.10541513,0.11099264,0.12353309,0.10279593,0.09887832,0.14097455,0.11099816,0.11241891,0.13155968,0.12382358,0.09136531,0.13545859,0.08644151,0.0806843,0.09559594,0.09754483,0.11463893,0.10911447,0.09967688,0.1229157,0.12973041,0.14497856,0.14072876,0.11949715,0.11912644,0.12313462,0.13660673,0.14763402,0.15395919,0.17001906,0.17204556,0.16197293,0.14811121,0.18379466,0.1393336
0.04096423,0.16072334,0.11646549,0.1353359,0.09992764,0.14517819,0.09089972,0.06112373,0.10277987,0.06232148,0.047999,0.11710427,0.13504586,0.05160958,0.08706399,0.11502035,0.12695664,0.0805533,0.11621353,0.09644958,0.12763683,0.09824314,0.14247403,0.11030754,0.12684148,0.08805999,0.14582854,0.11346208,0.08472359,0.12664254,0.16117283,0.13362588,0.13366271,0.17762032,0.1369635,0.12847731,0.05873147,0.12755706,0.13673857,0.1958568,0.14486589,0.15687567,0.16731999,0.15496138,0.17739747,0.15471067,0.15451233,0.17691919
0.04169562,0.20445269,0.16572169,0.14474029,0.03569245,0.16650391,0.14266651,0.08182879,0.08042595,0.12812671,0.1822661,0.14405649,0.0399302,0.07840977,0.11979537,-0.02481891,0.14254032,0.08457632,0.01917604,0.16912318,0.08166921,0.14377083,0.0409072,0.08478948,0.14677046,0.12491814,-0.02129494,0.16796391,0.18389951,0.18932904,0.02043095,0.15054996,0.16692812,-0.00349031,0.08238418,0.12647602,0.04681316,0.04739015,0.14825223,0.12830001,0.14976385,0.32200983,0.19153865,0.15222733,0.25960819,0.12961568,0.06667641,0.25315082
0.04297146,0.09227352,0.1135163,0.09705871,0.11250953,0.09196986,0.09459994,0.09457102,0.08160653,0.08372724,0.08915848,0.08709558,0.07937896,0.0817115,0.08867491,0.07763519,0.10073669,0.09377202,0.08535584,0.09600357,0.08001324,0.10901092,0.1062196,0.09427696,0.08920388,0.09455028,0.10894569,0.10510443,0.10560421,0.10170659,0.09663421,0.10985623,0.11777849,0.09778723,0.10499387,0.11776118,0.11934428,0.13705337,0.12778525,0.11562671,0.12145049,0.13129876,0.15265178,0.13578276,0.1519764,0.14722517,0.14366921,0.16064491
0.04450193,0.08911526,0.09046541,0.093922,0.08888763,0.08409294,0.09065768,0.086483,0.07934598,0.08370026,0.08636922,0.08542926,0.09030818,0.08520021,0.08280635,0.08461787,0.08929575,0.09437402,0.08904351,0.0875647,0.0862192,0.08976556,0.09082944,0.09028273,0.08260864,0.08777401,0.09186065,0.09682864,0.09955426,0.09827325,0.09192158,0.11150808,0.09825079,0.11046578,0.1137701,0.10255215,0.11770248,0.1155938,0.11354755,0.11862393,0.11627264,0.11760846,0.13136899,0.13312716,0.13858714,0.13479124,0.134971,0.14280147
0.04600695,0.09411722,0.08899087,0.08007,0.0795341,0.0768334,0.07701414,0.08274453,0.07727396,0.07329144,0.07974974,0.0834413,0.08384442,0.07887262,0.07737726,0.07514665,0.07414506,0.08046557,0.07804881,0.07066523,0.08493085,0.07583848,0.08123786,0.0882444,0.09059573,0.08471218,0.08113968,0.08603667,0.08463308,0.08145857,0.0907954,0.08755399,0.09261059,0.09433913,0.10521846,0.09679722,0.10660889,0.10471486,0.10861691,0.11439111,0.10860394,0.11297335,0.11710133,0.12478558,0.11636745,0.12958384,0.11640019,0.14872371
